claim_name,claim_sovereign,indigenous_territory,indigenous_slug,year_min,year_max,year_count
13 Colonies,Britain,Agawam,agawam,1763,1774,3
13 Colonies,Britain,Aucocisco,aucocisco,1763,1774,3
13 Colonies,Britain,Calicuas,calicuas,1763,1774,3
13 Colonies,Britain,Canarsie,canarsie,1763,1774,3
13 Colonies,Britain,Choptank,choptank,1763,1774,3
13 Colonies,Britain,Choptico,choptico,1763,1774,3
13 Colonies,Britain,Corchaug,corchaug,1763,1774,3
13 Colonies,Britain,Doeg,doeg,1763,1774,3
13 Colonies,Britain,Eastern Nehântick,eastern-nehantick,1763,1774,3
13 Colonies,Britain,Hammonassets,hammonassets,1763,1774,3
13 Colonies,Britain,Ho-de-no-sau-nee-ga (Haudenosaunee),haudenosauneega-confederacy,1763,1774,3
13 Colonies,Britain,Kanienʼkehá꞉ka (Mohawk),mohawk,1763,1774,3
13 Colonies,Britain,Lekawe (Rockaway),rockaway,1763,1774,3
13 Colonies,Britain,Lenapehoking (Lenni-Lenape),lenape,1763,1774,3
13 Colonies,Britain,Manahoac,manahoac,1763,1774,3
13 Colonies,Britain,Manissean,manissean,1763,1774,3
13 Colonies,Britain,Mannansett,mannansett,1763,1774,3
13 Colonies,Britain,Massa-adchu-es-et (Massachusett),massa-adchu-es-et-massachuset-2,1763,1774,3
13 Colonies,Britain,Massacoes,massacoes,1763,1774,3
13 Colonies,Britain,Massapequas,massapequas,1763,1774,3
13 Colonies,Britain,Massawomeck,massawomeck,1763,1774,3
13 Colonies,Britain,Matapeake,matapeake,1763,1774,3
13 Colonies,Britain,Matinecock,matinecock,1763,1774,3
13 Colonies,Britain,Merrick,merrick,1763,1774,3
13 Colonies,Britain,Mi’kma’ki,mikmaq,1763,1774,3
13 Colonies,Britain,Mohegan,mohegan-2,1763,1774,3
13 Colonies,Britain,Mohican,mohican,1763,1774,3
13 Colonies,Britain,Monacan,monacan,1763,1774,3
13 Colonies,Britain,Montaukett,montauk,1763,1774,3
13 Colonies,Britain,Munsee Lenape,munsee-lenape,1763,1774,3
13 Colonies,Britain,Nacotchtank (Anacostan),nacotchtank-anacostan,1763,1774,3
13 Colonies,Britain,Nahaganset,nahaganset,1763,1774,3
13 Colonies,Britain,Nanrantsouak,nanrantsouak,1763,1774,3
13 Colonies,Britain,Naumkeag,naumkeag,1763,1774,3
13 Colonies,Britain,Nauset,nauset,1763,1774,3
13 Colonies,Britain,Nentego (Nanticoke),nentego-nanticoke,1763,1774,3
13 Colonies,Britain,Nipmuc,nipmuck,1763,1774,3
13 Colonies,Britain,Nissaquogue,nissaquogue,1763,1774,3
13 Colonies,Britain,Nonotuck,nonotuck,1763,1774,3
13 Colonies,Britain,N’dakina (Abenaki / Abénaquis),abenaki-abenaquis,1763,1774,3
13 Colonies,Britain,Odǫhwęja:deˀ (Cayuga),cayuga,1763,1774,3
13 Colonies,Britain,Onundagaonoga (Onondaga),onondaga,1763,1774,3
13 Colonies,Britain,Onöndowa’ga:’ (Seneca),onondowaga-seneca,1763,1774,3
13 Colonies,Britain,Onʌyote’a•ka (Oneida),oneida,1763,1774,3
13 Colonies,Britain,Ozinie,ozinie,1763,1774,3
13 Colonies,Britain,Passamaquoddy,passamaquoddy,1763,1774,3
13 Colonies,Britain,Patuxent,patuxent,1763,1774,3
13 Colonies,Britain,Patuxet,patuxet,1763,1774,3
13 Colonies,Britain,Paugussett,paugussett,1763,1774,3
13 Colonies,Britain,Pauquunaukit (Pokanoket),pokanoket,1763,1774,3
13 Colonies,Britain,Pawtucket,pawtucket,1763,1774,3
13 Colonies,Britain,Pennacook,pennacook-2,1763,1774,3
13 Colonies,Britain,Penobscot,penobscot-2,1763,1774,3
13 Colonies,Britain,Pentucket,pentucket,1763,1774,3
13 Colonies,Britain,Pequawket,pequawket,1763,1774,3
13 Colonies,Britain,Pequonnock,poquonock,1763,1774,3
13 Colonies,Britain,Pequot,pequot-mohegan,1763,1774,3
13 Colonies,Britain,Piscataway,piscataway,1763,1774,3
13 Colonies,Britain,Pocomoke-Assateague,pocomoke,1763,1774,3
13 Colonies,Britain,Pocumtuc,pocumtuc,1763,1774,3
13 Colonies,Britain,Podunks,podunks,1763,1774,3
13 Colonies,Britain,Poquonook,poquonook,1763,1774,3
13 Colonies,Britain,Quinnipiac,quinnipiac,1763,1774,3
13 Colonies,Britain,Sakonnet,sakonnet,1763,1774,3
13 Colonies,Britain,Schaghticoke,schaghticoke,1763,1774,3
13 Colonies,Britain,Secatogue,secatogue,1763,1774,3
13 Colonies,Britain,Setalcott,setalcott,1763,1774,3
13 Colonies,Britain,Shawandasse Tula (Shawanwaki/Shawnee),shawnee,1763,1774,3
13 Colonies,Britain,Shinnecock,shinnecock,1763,1774,3
13 Colonies,Britain,Sicaog (Saukiog),sicoags,1763,1774,3
13 Colonies,Britain,Susquehannock,susquehannock,1763,1774,3
13 Colonies,Britain,Tockwogh,tockwogh,1763,1774,3
13 Colonies,Britain,Transquaking,transquaking,1763,1774,3
13 Colonies,Britain,Tunxis,tunxis,1763,1774,3
13 Colonies,Britain,Tuscarora,tuscarora-3,1763,1774,3
13 Colonies,Britain,Unkechaug,unkechaug,1763,1774,3
13 Colonies,Britain,Wabanaki (Dawnland Confederacy),wabanaki-confederacy,1763,1774,3
13 Colonies,Britain,Wangunks,wangunks,1763,1774,3
13 Colonies,Britain,Wappinger,wappinger-2,1763,1774,3
13 Colonies,Britain,Wendake-Nionwentsïo,huron-wendat,1763,1774,3
13 Colonies,Britain,Western Nehântick,western-nehantick,1763,1774,3
13 Colonies,Britain,Wicomico,wicomico,1763,1774,3
13 Colonies,Britain,Wolastoqiyik (Maliseet),wolastoqiyik,1763,1774,3
13 Colonies,Britain,Wôpanâak (Wampanoag),wampanoag,1763,1774,3
13 Colonies,Britain,𐓏𐒰𐓓𐒰𐓓𐒷  𐒼𐓂𐓊𐒻  𐓆𐒻𐒿𐒷  𐓀𐒰^𐓓𐒰^(Osage),osage,1763,1774,3
Alaska,Russia,Ahtna Nenn’,ahtna,1784,1866,19
Alaska,Russia,Alutiiq (Sugpiaq),alutiiq-sugpiaq,1784,1866,19
Alaska,Russia,Carcross/Tagish First Nation (BC),carcross-tagish-first-nation-bc,1784,1866,11
Alaska,Russia,Carcross/Tagish First Nation (Yukon),carcross-tagish,1784,1784,1
Alaska,Russia,Champagne & Aishihik,champagne-aishihik,1784,1784,1
Alaska,Russia,Deg Xit’an Ngan’ (Deg Xit’an),deg-hitan,1784,1866,19
Alaska,Russia,Dena’ina Ełnena,denaina,1784,1866,19
Alaska,Russia,Dënéndeh,denendeh,1784,1866,19
Alaska,Russia,Eyak,eyak,1784,1866,19
Alaska,Russia,Gwich’in Nành,gwichin,1825,1866,10
Alaska,Russia,Haida,x%cc%b1aayda,1784,1866,11
Alaska,Russia,Holikachuk,holikachuk,1784,1866,19
Alaska,Russia,Hän,han,1825,1866,10
Alaska,Russia,Inupiat,inupiatun,1784,1866,19
Alaska,Russia,Inuvialuit,inuvialuit,1825,1866,10
Alaska,Russia,Kitsumkalum,kitsumkalum,1825,1866,10
Alaska,Russia,Kluane,kluane,1784,1866,11
Alaska,Russia,Koyukon,koyukon,1784,1866,19
Alaska,Russia,Kuuvuan KaNianiq,kuuvuan-kanianiq,1825,1866,10
Alaska,Russia,Lax Kw’Alaams,lax-kwalaams,1825,1866,10
Alaska,Russia,La̱xyuubm Ts’msyen (Tsimshian),tsimshian,1784,1866,11
Alaska,Russia,Lingít Aaní (Tlingit),tlingit,1784,1866,19
Alaska,Russia,Nisg̱a’a,nisg%cc%b1aa,1784,1866,11
Alaska,Russia,Nyvukagmit (Naukan) Yupik,nyvukagmit-naukan,1784,1866,19
Alaska,Russia,Sivuqaq (St. Lawrence Island) Yupik,sivuqaq-st-lawrence-island-yupik,1784,1866,19
Alaska,Russia,Tagish,tagish,1784,1784,1
Alaska,Russia,Tahltan Nation,tahltan,1784,1866,11
Alaska,Russia,Taku River Tlingit,taku-river-tlingit,1784,1866,11
Alaska,Russia,Tanacross,tanacross,1825,1866,10
Alaska,Russia,Tanana,tanana,1825,1866,10
Alaska,Russia,Tr’ondëk Hwëch’in,trondek-hwechin,1825,1866,10
Alaska,Russia,Unangam Tanangin (Unangax̂ /Aleut),aleut,1784,1866,19
Alaska,Russia,Upper Kuskokwim,upper-kuskokwim,1825,1866,10
Alaska,Russia,Upper Tanana,upper-tanana-2,1825,1866,10
Alaska,Russia,Vuntut Gwich’in,vuntut-gwitchin,1825,1866,10
Alaska,Russia,White River-Kluane,white-river,1784,1866,11
Alaska,Russia,Yup’ik/Cup’ik,yupik,1784,1866,19
Alaska,Russia,ᐃᓄᐃᑦ ᓄᓇᖓᑦ (Inuit Nunangat),inuit,1825,1866,10
Alberta,Canada,Akaitcho,akaitcho,1905,2001,6
Alberta,Canada,As’in’i’wa’chi Niy’yaw Askiy (Rocky Mountain Cree),aseniwuche-winewak-rocky-mountain,1905,2001,6
Alberta,Canada,Beaver,beaver,1905,2001,6
Alberta,Canada,Beaver Lake Cree,beaver-lake-cree,1905,2001,6
Alberta,Canada,Big Stone Cree,big-stone-cree,1905,2001,6
Alberta,Canada,"Cayuse, Umatilla and Walla Walla",cayuse-umatilla-and-walla-walla,1905,2001,6
Alberta,Canada,Confederated Tribes of the Colville Reservation,confederated-tribes-of-the-colville-reservation,1905,2001,6
Alberta,Canada,Cree,cree,1905,2001,6
Alberta,Canada,Dakeł Keyoh (ᑕᗸᒡ ᗲᘏᑋ),dakel-%e1%91%95%e1%97%b8%e1%92%a1,1905,2001,6
Alberta,Canada,Dehcho Dene,dehcho-dene,1905,2001,6
Alberta,Canada,Dene Tha’,dene-tha,1905,2001,6
Alberta,Canada,Denendeh (Dënësųłinë́ Nëné),dene-chipewyan,1905,2001,6
Alberta,Canada,Dënéndeh,denendeh,1905,2001,6
Alberta,Canada,Kelly Lake Metis Settlement Society,kelly-lake-metis-settlement-society,1905,2001,6
Alberta,Canada,Ktunaxa ɁamakɁis,ktunaxa,1905,2001,6
Alberta,Canada,Lheidli T’enneh,lheidli-tenneh,1905,2001,6
Alberta,Canada,Michif Piyii (Métis),metis,1905,2001,6
Alberta,Canada,Mountain Métis,mountain-metis,1905,2001,6
Alberta,Canada,NWT Métis Nation,nwt-metis-nation,1905,2001,6
Alberta,Canada,Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ),niitsitapi-%e1%96%b9%e1%90%9f%e1%92%a7%e1%90%a7%e1%92%a3%e1%91%af-blackfoot,1905,2001,6
Alberta,Canada,North Slave Métis Alliance,north-slave-metis-alliance,1905,2001,6
Alberta,Canada,Očhéthi Šakówiŋ,oceti-sakowin-sioux,1905,2001,6
Alberta,Canada,Secwepemcúl’ecw (Secwépemc),secwepemc-secwepemculecw,1905,2001,6
Alberta,Canada,Sturgeon Lake Cree,sturgeon-lake-cree,1905,2001,6
Alberta,Canada,Syilx (Okanagan),okanagan,1905,2001,6
Alberta,Canada,Tsuut’ina,tsuu-tina,1905,2001,6
Alberta,Canada,Woodland Cree,woodland-cree,1905,2001,6
Alberta,Canada,Ĩyãħé Nakón mąkóce (Stoney),stoney,1905,2001,6
Alberta,Canada,ᓀᐦᐃᔭᐤ ᐊᐢᑭᕀ Nêhiyaw-Askiy (Plains Cree),plains-cree,1905,2001,6
Arctic Islands,Britain,Inupiat,inupiatun,1859,1867,5
Arctic Islands,Britain,Inuvialuit,inuvialuit,1859,1876,10
Arctic Islands,Britain,North Slave Métis Alliance,north-slave-metis-alliance,1859,1867,5
Arctic Islands,Britain,ᐃᓄᐃᑦ ᓄᓇᖓᑦ (Inuit Nunangat),inuit,1859,1876,10
Arctic Islands,Britain,ᓄᓇᕗᑦ (Nunavut),(nunavut),1859,1876,10
British Colonies,Britain,Agawam,agawam,1667,1713,2
British Colonies,Britain,Aucocisco,aucocisco,1667,1713,2
British Colonies,Britain,Calicuas,calicuas,1667,1713,2
British Colonies,Britain,Canarsie,canarsie,1667,1713,2
British Colonies,Britain,Choptank,choptank,1667,1713,2
British Colonies,Britain,Choptico,choptico,1667,1713,2
British Colonies,Britain,Corchaug,corchaug,1667,1713,2
British Colonies,Britain,Doeg,doeg,1667,1713,2
British Colonies,Britain,Eastern Nehântick,eastern-nehantick,1667,1713,2
British Colonies,Britain,Erie,erie,1667,1667,1
British Colonies,Britain,Hammonassets,hammonassets,1667,1713,2
British Colonies,Britain,Ho-de-no-sau-nee-ga (Haudenosaunee),haudenosauneega-confederacy,1667,1713,2
British Colonies,Britain,Kanienʼkehá꞉ka (Mohawk),mohawk,1667,1713,2
British Colonies,Britain,Kaskaskia,kaskaskia,1667,1667,1
British Colonies,Britain,Lekawe (Rockaway),rockaway,1667,1713,2
British Colonies,Britain,Lenapehoking (Lenni-Lenape),lenape,1667,1713,2
British Colonies,Britain,Manahoac,manahoac,1667,1713,2
British Colonies,Britain,Manissean,manissean,1667,1713,2
British Colonies,Britain,Mannansett,mannansett,1667,1713,2
British Colonies,Britain,Massa-adchu-es-et (Massachusett),massa-adchu-es-et-massachuset-2,1667,1713,2
British Colonies,Britain,Massacoes,massacoes,1667,1713,2
British Colonies,Britain,Massapequas,massapequas,1667,1713,2
British Colonies,Britain,Massawomeck,massawomeck,1667,1713,2
British Colonies,Britain,Matapeake,matapeake,1667,1713,2
British Colonies,Britain,Matinecock,matinecock,1667,1713,2
British Colonies,Britain,Merrick,merrick,1667,1713,2
British Colonies,Britain,Mi’kma’ki,mikmaq,1713,1713,1
British Colonies,Britain,Mohegan,mohegan-2,1667,1713,2
British Colonies,Britain,Mohican,mohican,1667,1713,2
British Colonies,Britain,Monacan,monacan,1667,1713,2
British Colonies,Britain,Montaukett,montauk,1667,1713,2
British Colonies,Britain,Munsee Lenape,munsee-lenape,1667,1713,2
British Colonies,Britain,Myaamia,miami,1667,1667,1
British Colonies,Britain,Nacotchtank (Anacostan),nacotchtank-anacostan,1667,1713,2
British Colonies,Britain,Nahaganset,nahaganset,1667,1713,2
British Colonies,Britain,Nanrantsouak,nanrantsouak,1667,1713,2
British Colonies,Britain,Naumkeag,naumkeag,1667,1713,2
British Colonies,Britain,Nauset,nauset,1667,1713,2
British Colonies,Britain,Nentego (Nanticoke),nentego-nanticoke,1667,1713,2
British Colonies,Britain,Nipmuc,nipmuck,1667,1713,2
British Colonies,Britain,Nissaquogue,nissaquogue,1667,1713,2
British Colonies,Britain,Nonotuck,nonotuck,1667,1713,2
British Colonies,Britain,N’dakina (Abenaki / Abénaquis),abenaki-abenaquis,1667,1713,2
British Colonies,Britain,Odǫhwęja:deˀ (Cayuga),cayuga,1667,1713,2
British Colonies,Britain,Ofo,ofo-2,1667,1667,1
British Colonies,Britain,Onundagaonoga (Onondaga),onondaga,1667,1713,2
British Colonies,Britain,Onöndowa’ga:’ (Seneca),onondowaga-seneca,1667,1713,2
British Colonies,Britain,Onʌyote’a•ka (Oneida),oneida,1667,1713,2
British Colonies,Britain,Ozinie,ozinie,1667,1713,2
British Colonies,Britain,Patuxent,patuxent,1667,1713,2
British Colonies,Britain,Patuxet,patuxet,1667,1713,2
British Colonies,Britain,Paugussett,paugussett,1667,1713,2
British Colonies,Britain,Pauquunaukit (Pokanoket),pokanoket,1667,1713,2
British Colonies,Britain,Pawtucket,pawtucket,1667,1713,2
British Colonies,Britain,Pennacook,pennacook-2,1667,1713,2
British Colonies,Britain,Penobscot,penobscot-2,1667,1713,2
British Colonies,Britain,Pentucket,pentucket,1667,1713,2
British Colonies,Britain,Pequawket,pequawket,1667,1713,2
British Colonies,Britain,Pequonnock,poquonock,1667,1713,2
British Colonies,Britain,Pequot,pequot-mohegan,1667,1713,2
British Colonies,Britain,Piscataway,piscataway,1667,1713,2
British Colonies,Britain,Pocomoke-Assateague,pocomoke,1667,1713,2
British Colonies,Britain,Pocumtuc,pocumtuc,1667,1713,2
British Colonies,Britain,Podunks,podunks,1667,1713,2
British Colonies,Britain,Poquonook,poquonook,1667,1713,2
British Colonies,Britain,Quinnipiac,quinnipiac,1667,1713,2
British Colonies,Britain,Sakonnet,sakonnet,1667,1713,2
British Colonies,Britain,Schaghticoke,schaghticoke,1667,1713,2
British Colonies,Britain,Secatogue,secatogue,1667,1713,2
British Colonies,Britain,Setalcott,setalcott,1667,1713,2
British Colonies,Britain,Shawandasse Tula (Shawanwaki/Shawnee),shawnee,1667,1713,2
British Colonies,Britain,Shinnecock,shinnecock,1667,1713,2
British Colonies,Britain,Sicaog (Saukiog),sicoags,1667,1713,2
British Colonies,Britain,Susquehannock,susquehannock,1667,1713,2
British Colonies,Britain,Tockwogh,tockwogh,1667,1713,2
British Colonies,Britain,Transquaking,transquaking,1667,1713,2
British Colonies,Britain,Tunxis,tunxis,1667,1713,2
British Colonies,Britain,Tuscarora,tuscarora-3,1667,1713,2
British Colonies,Britain,Unkechaug,unkechaug,1667,1713,2
British Colonies,Britain,Wabanaki (Dawnland Confederacy),wabanaki-confederacy,1667,1713,2
British Colonies,Britain,Wangunks,wangunks,1667,1713,2
British Colonies,Britain,Wappinger,wappinger-2,1667,1713,2
British Colonies,Britain,Wendake-Nionwentsïo,huron-wendat,1667,1713,2
British Colonies,Britain,Western Nehântick,western-nehantick,1667,1713,2
British Colonies,Britain,Wicomico,wicomico,1667,1713,2
British Colonies,Britain,Wolastoqiyik (Maliseet),wolastoqiyik,1667,1713,2
British Colonies,Britain,Wôpanâak (Wampanoag),wampanoag,1667,1713,2
British Colonies,Britain,𐓏𐒰𐓓𐒰𐓓𐒷  𐒼𐓂𐓊𐒻  𐓆𐒻𐒿𐒷  𐓀𐒰^𐓓𐒰^(Osage),osage,1667,1713,2
British Columbia,Britain,As’in’i’wa’chi Niy’yaw Askiy (Rocky Mountain Cree),aseniwuche-winewak-rocky-mountain,1858,1870,7
British Columbia,Britain,BOḰEĆEN (Pauquachin),bo%e1%b8%b1ecen-pauquachin,1866,1870,3
British Columbia,Britain,Beaver,beaver,1863,1870,4
British Columbia,Britain,Carcross/Tagish First Nation (BC),carcross-tagish-first-nation-bc,1863,1870,4
British Columbia,Britain,Carcross/Tagish First Nation (Yukon),carcross-tagish,1863,1870,4
British Columbia,Britain,"Cayuse, Umatilla and Walla Walla",cayuse-umatilla-and-walla-walla,1858,1870,7
British Columbia,Britain,Champagne & Aishihik,champagne-aishihik,1863,1870,4
British Columbia,Britain,Confederated Tribes of the Colville Reservation,confederated-tribes-of-the-colville-reservation,1858,1870,7
British Columbia,Britain,Dakeł Keyoh (ᑕᗸᒡ ᗲᘏᑋ),dakel-%e1%91%95%e1%97%b8%e1%92%a1,1858,1870,7
British Columbia,Britain,Da’naxda’xw Awaetlatla,danaxdaxw-awaetlatla,1858,1870,7
British Columbia,Britain,Dehcho Dene,dehcho-dene,1863,1870,4
British Columbia,Britain,Dene Tha’,dene-tha,1863,1870,4
British Columbia,Britain,Denendeh (Acho Dene Koe),acho-dene-koe,1863,1870,4
British Columbia,Britain,Dënéndeh,denendeh,1858,1870,7
British Columbia,Britain,Esketemculeucw (Esk’etemc),esketemculeucw-esketemc,1858,1870,7
British Columbia,Britain,Gitanyow Lax’yip,gitanyow-laxyip,1863,1870,4
British Columbia,Britain,Gitga’at Lax Yuup,gitgaat,1858,1870,7
British Columbia,Britain,Gitxaała,gitxaala,1858,1870,7
British Columbia,Britain,Gitxsan Laxyip,gitxsan,1858,1870,7
British Columbia,Britain,Gwa’Sala-‘Nakwaxda’xw,gwasala-nakwaxdaxw,1858,1870,7
British Columbia,Britain,Haida,x%cc%b1aayda,1858,1870,7
British Columbia,Britain,Halalt,halalt,1866,1870,3
British Columbia,Britain,Hesquiaht,hesquiaht,1866,1870,3
British Columbia,Britain,Homalco,homalco,1858,1870,7
British Columbia,Britain,Hul’qumi’num Treaty Group,hulquminum-treaty-group,1858,1870,7
British Columbia,Britain,Hupacasath,hupacasath,1866,1870,3
British Columbia,Britain,Huu-ay-aht,huu-ay-aht,1866,1870,3
British Columbia,Britain,In-SHUCK-ch,in-shuck-ch,1858,1870,7
British Columbia,Britain,Ka:’yu:’k’t’h’/Che:k’tles7et’h’,kayukth-chektles7eth,1866,1870,3
British Columbia,Britain,Kalispel,kalispel,1858,1870,7
British Columbia,Britain,Kaska Dena Kayeh,kaska-dena,1858,1870,7
British Columbia,Britain,Kelly Lake Metis Settlement Society,kelly-lake-metis-settlement-society,1858,1870,7
British Columbia,Britain,Kitselas,kitselas,1858,1870,7
British Columbia,Britain,Kitsumkalum,kitsumkalum,1858,1870,7
British Columbia,Britain,Ktunaxa ɁamakɁis,ktunaxa,1858,1870,7
British Columbia,Britain,Kulhulmcilh (Nuxalk),nuxalk,1858,1870,7
British Columbia,Britain,Kwakwaka’wakw A̱wi’nagwis,kwakwakawakw,1858,1870,7
British Columbia,Britain,Kwantlen,kwantlen,1858,1870,7
British Columbia,Britain,Kwiakah,kwiakah,1858,1870,7
British Columbia,Britain,K’ómoks,komoks,1858,1870,7
British Columbia,Britain,Lax Kw’Alaams,lax-kwalaams,1858,1870,7
British Columbia,Britain,La̱xyuubm Ts’msyen (Tsimshian),tsimshian,1858,1870,7
British Columbia,Britain,Lekwungen/Songhees,lekwungen-songhees,1866,1870,3
British Columbia,Britain,Lheidli T’enneh,lheidli-tenneh,1858,1870,7
British Columbia,Britain,Liǧʷiłdax̌ʷ,lig%ca%b7ildax%ca%b7,1858,1870,7
British Columbia,Britain,Lil’wat,lilwat,1858,1870,7
British Columbia,Britain,Lingít Aaní (Tlingit),tlingit,1863,1870,4
British Columbia,Britain,Michif Piyii (Métis),metis,1858,1870,7
British Columbia,Britain,Mountain Métis,mountain-metis,1858,1870,7
British Columbia,Britain,Musgamagw Dzawada’enuxw,musgamagw-dzawadaenuxw,1858,1870,7
British Columbia,Britain,MÁLEXEȽ (Malahat),malexe%c6%9a-malahat,1866,1870,3
British Columbia,Britain,Nadleh Whut’en,nadleh-whuten,1858,1870,7
British Columbia,Britain,Nadut’en,naduten,1858,1870,7
British Columbia,Britain,Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ),niitsitapi-%e1%96%b9%e1%90%9f%e1%92%a7%e1%90%a7%e1%92%a3%e1%91%af-blackfoot,1858,1870,7
British Columbia,Britain,Nisg̱a’a,nisg%cc%b1aa,1863,1870,4
British Columbia,Britain,North Slave Métis Alliance,north-slave-metis-alliance,1863,1870,4
British Columbia,Britain,Nuxwsa’7aq (Nooksack),nuxwsa7aq-nooksack,1858,1870,7
British Columbia,Britain,Nłeʔkepmx Tmíxʷ (Nlaka’pamux),nlakapamux,1858,1870,7
British Columbia,Britain,Pacheedaht,pacheedaht,1866,1870,3
British Columbia,Britain,Qayqayt,qayqayt,1858,1870,7
British Columbia,Britain,Quatsino,quatsino,1866,1870,3
British Columbia,Britain,Quw’utsun,quwutsun,1858,1870,7
British Columbia,Britain,Sc’ianew,scianew,1866,1870,3
British Columbia,Britain,Secwepemcúl’ecw (Secwépemc),secwepemc-secwepemculecw,1858,1870,7
British Columbia,Britain,Semiahmoo,semiahmoo,1858,1870,7
British Columbia,Britain,Skwxwú7mesh-ulh Temíx̱w (Squamish),skwxwu7mesh-uxwumixw,1858,1870,7
British Columbia,Britain,Snaw-naw-as,snaw-naw-as,1858,1870,7
British Columbia,Britain,Snuneymuxw,snuneymuxw,1858,1870,7
British Columbia,Britain,Stellat’en,stellaten,1858,1870,7
British Columbia,Britain,Stz’uminus,stzuminus,1858,1870,7
British Columbia,Britain,St̓át̓imc Tmicw (St’at’imc),stlatlimc,1858,1870,7
British Columbia,Britain,Syilx (Okanagan),okanagan,1858,1870,7
British Columbia,Britain,S’Klallam,klallam,1866,1870,3
British Columbia,Britain,S’ólh Téméxw (Stó:lō),stolo-treaty-association,1858,1870,7
British Columbia,Britain,Tagish,tagish,1863,1870,4
British Columbia,Britain,Tahltan Nation,tahltan,1858,1870,7
British Columbia,Britain,Takla,takla,1858,1870,7
British Columbia,Britain,Taku River Tlingit,taku-river-tlingit,1863,1870,4
British Columbia,Britain,Teslin Tlingit Council (BC),teslin-tlingit-council,1863,1870,4
British Columbia,Britain,Teslin Tlingit Council (Yukon),teslin-tlingit,1863,1870,4
British Columbia,Britain,Te’mexw Treaty Association,temexw-treaty-association,1858,1870,7
British Columbia,Britain,Toquaht,toquaht,1866,1870,3
British Columbia,Britain,Tseshaht,tseshaht,1866,1870,3
British Columbia,Britain,Tse’khene,sekani,1858,1870,7
British Columbia,Britain,Tsuut’ina,tsuu-tina,1858,1870,7
British Columbia,Britain,Tŝilhqot’in Nen,tsilqotin,1858,1870,7
British Columbia,Britain,Ts’uubaa-asatx,tsuubaa-asatx,1866,1870,3
British Columbia,Britain,T’eqt’aqtn’mux,teqtaqtnmux,1858,1870,7
British Columbia,Britain,Uchucklesaht,uchucklesaht,1866,1870,3
British Columbia,Britain,We Wai Kai,we-wai-kai,1858,1870,7
British Columbia,Britain,Wei Wai Kum,we-wai-kum,1858,1870,7
British Columbia,Britain,Wet’suwet’en Yintikh,wetsuweten,1858,1870,7
British Columbia,Britain,Wuikinuxv (Oweekeno),wuikinuxv-oweekeno,1858,1870,7
British Columbia,Britain,W̱JOȽEȽP (Tsartlip),w%cc%b1jo%c6%9ae%c6%9ap-tsartlip,1866,1870,3
British Columbia,Britain,W̱SĺḴEM (Tseycum),w%cc%b1sl%e1%b8%b5em-tseycum,1866,1870,3
British Columbia,Britain,Yekooche,yekooche,1858,1870,7
British Columbia,Britain,Yuułuʔiłʔatḥ,ucluelet,1866,1870,3
British Columbia,Britain,ditidaqiic̓aq disib̓aʔk (Ditidaht),ditidaht,1866,1870,3
British Columbia,Britain,dxʷlilap (Tulalip),tulalip,1858,1870,7
British Columbia,Britain,híɫzaqv w̓áwís (Heiltsuk),heiltsuk,1858,1870,7
British Columbia,Britain,kʷikʷəƛ̓əm,kwikwetlem,1858,1870,7
British Columbia,Britain,nuučaan̓uuɫɁatḥ nism̓a (Nuu-chah-nulth),nuu-chah-nulth-tribal-council,1866,1870,3
British Columbia,Britain,saʔqʷəbixʷ-suyaƛ̕bixʷ (Sauk Suiattle),sauk-suiattle,1858,1870,7
British Columbia,Britain,sc̓əwaθenaɁɬ təməxʷ (Tsawwassen),tsawwassen-sc%cc%93%c9%99wa%ce%b8en,1858,1870,7
British Columbia,Britain,shíshálh swíya (Sechelt),shishalh,1858,1870,7
British Columbia,Britain,snʕickstx tmxʷúlaʔxʷ (Sinixt),sinixt,1858,1870,7
British Columbia,Britain,sq̓əc̓iy̓aɁɬ təməxʷ (Katzie),katzie,1858,1870,7
British Columbia,Britain,sx̌ʷyʔiɬp (Colville),colville,1858,1870,7
British Columbia,Britain,səl̓ilwətaɁɬ təməxʷ (Tsleil-Waututh),tsleil-waututh-s%c9%99l%cc%93ilw%c9%99ta%c9%82%c9%ac,1858,1870,7
British Columbia,Britain,x̣àʼisla w̓áwís (Haisla),haisla,1858,1870,7
British Columbia,Britain,"Á,LEṈENEȻ ȽTE (W̱SÁNEĆ)",w%cc%b1sanec,1858,1870,7
British Columbia,Britain,Ĩyãħé Nakón mąkóce (Stoney),stoney,1858,1870,7
British Columbia,Britain,šxʷməθkʷəy̓əmaɁɬ təməxʷ (Musqueam),x%ca%b7m%c9%99%ce%b8k%ca%b7%c9%99y%cc%93%c9%99m,1858,1870,7
British Columbia,Britain,ƛaʔuukʷiʔatḥ (Tla-o-qui-aht),%c6%9ba%ca%94uuk%ca%b7i%ca%94ath%cc%a3-tla-o-qui-aht,1866,1870,3
British Columbia,Britain,ƛohos giǰi (Klahoose),klahoose,1858,1870,7
